"alg","asterix_mean","asterix_std","breakout_mean","breakout_std","freeway_mean","freeway_std","seaquest_mean","seaquest_std","space_invaders_mean","space_invaders_std"
"rho_dqn_baseline","0.6271404769024722","0.03541482005345466","0.4488943591320935","0.03725790595151773","0.8874395646944027","0.0061373356665592824","0.7250482838111081","0.0501198980016794","0.19269887846061087","0.01301200812392024"
"per_dqn_baseline","0.6464574665605822","0.040969767302858756","0.443965472179224","0.03587139825289823","0.8792395558908404","0.003665415842919369","0.2406048366020294","0.07667552835259364","0.18679991515388902","0.02224885961054536"
"dqn_baseline","0.501561399947864","0.04300729450077167","0.4680328146462065","0.014506042157258486","0.8800406408078981","0.005762271153578386","0.6452499216521808","0.11504773297346242","0.22681679165084673","0.008271471425930405"
