"alg","cheetah_run_mean","cheetah_run_std","finger_spin_mean","finger_spin_std","hopper_hop_mean","hopper_hop_std","quadruped_run_mean","quadruped_run_std","quadruped_walk_mean","quadruped_walk_std","reacher_easy_mean","reacher_easy_std","reacher_hard_mean","reacher_hard_std","walker_run_mean","walker_run_std","walker_walk_mean","walker_walk_std"
"RHOSAC_baseline","660.2914876914668","141.22043030957312","978.78","14.458409317763829","247.80505432354056","51.0085555238528","833.9171716453293","81.05243867476591","942.6390692792608","9.752113796090214","979.0799999999999","11.018057905093826","956.8","38.725856995036274","795.1365185423547","42.519844783299376","963.2757202628807","5.026422861206104"
"PERSAC_baseline","831.8689554476962","38.90191468445846","975.4","6.750703667026136","217.3546266756273","113.7894052695371","496.4249013369043","216.0103972464766","766.2968052139779","200.8605194566041","981.5799999999999","6.331003080081362","935.0800000000002","47.94060491900368","755.4875321854336","64.34718704285847","957.3777173444581","8.237684341190981"
"baseline","761.8906877911497","112.38321304821291","966.6800000000001","29.398870726611257","264.74781301409524","37.89692704694942","612.6737305995078","143.9035348048217","831.9176041529547","74.33924927580834","983.0600000000001","2.701555107711113","955.0799999999999","38.52050882322301","759.1322453227245","23.909385666651268","943.673611299331","30.27631909620225"
