"alg","Alien_mean","Alien_std","Amidar_mean","Amidar_std","Assault_mean","Assault_std","BankHeist_mean","BankHeist_std","Frostbite_mean","Frostbite_std","Jamesbond_mean","Jamesbond_std","Seaquest_mean","Seaquest_std"
"per_replay_2M","1217.2","207.16119327711934","445.3","47.29232495870762","2531.46","444.6953860790552","452.8","131.17225316354066","1842.0","1450.5171491574997","663.0","429.59981378022036","1412.8","402.62856331860013"
"rho_priority_2M","1544.0","685.5745036099286","393.67999999999995","111.74079648901738","2506.88","683.9078282926728","525.4","201.2973919354148","3366.4","1613.6701769568651","851.0","580.5721316081233","1755.2","262.0338909377945"
